
# Surface 0 of 1 surfaces

# Curve title: "'fS.dat' u 1:2:($3/1000) binary matrix"

# Contour 0, label:        3
0.523579 0.397953 3 
0.523807 0.399164 3 

# Contour 3, label: 
-0.375874 0.0259197 3 
-0.369129 0.0155518 3 
-0.36806 0.0139332 3 
-0.362218 0.00518395 3 
-0.357692 -0.00145403 3 
-0.355118 -0.00518395 3 
-0.347832 -0.0155518 3 
-0.347324 -0.0162651 3 
-0.340368 -0.0259197 3 
-0.336957 -0.0305711 3 
-0.332704 -0.0362876 3 
-0.326589 -0.0443719 3 
-0.324835 -0.0466555 3 
-0.316762 -0.0570234 3 
-0.316221 -0.0577116 3 
-0.308485 -0.0673913 3 
-0.305853 -0.0706389 3 
-0.299985 -0.0777592 3 
-0.295485 -0.0831503 3 
-0.291257 -0.0881271 3 
-0.285117 -0.0952698 3 
-0.282294 -0.098495 3 
-0.274749 -0.10702 3 
-0.273088 -0.108863 3 
-0.264381 -0.118422 3 
-0.26363 -0.119231 3 
-0.254013 -0.129493 3 
-0.253912 -0.129599 3 
-0.243921 -0.139967 3 
-0.243645 -0.14025 3 
-0.233646 -0.150334 3 
-0.233278 -0.150704 3 
-0.223074 -0.160702 3 
-0.22291 -0.160863 3 
-0.212542 -0.170743 3 
-0.21219 -0.17107 3 
-0.202174 -0.180357 3 
-0.20098 -0.181438 3 
-0.191806 -0.189712 3 
-0.189426 -0.191806 3 
-0.181438 -0.198813 3 
-0.177507 -0.202174 3 
-0.17107 -0.207694 3 
-0.165337 -0.212542 3 
-0.160702 -0.216512 3 
-0.15315 -0.22291 3 
-0.150334 -0.225325 3 
-0.140962 -0.233278 3 
-0.139967 -0.234133 3 
-0.129599 -0.242952 3 
-0.128775 -0.243645 3 
-0.119231 -0.251786 3 
-0.11659 -0.254013 3 
-0.108863 -0.260614 3 
-0.104405 -0.264381 3 
-0.098495 -0.269437 3 
-0.0922181 -0.274749 3 
-0.0881271 -0.278254 3 
-0.0800305 -0.285117 3 
-0.0777592 -0.287066 3 
-0.0678419 -0.295485 3 
-0.0673913 -0.295872 3 
-0.0570234 -0.304701 3 
-0.0556567 -0.305853 3 
-0.0466555 -0.313532 3 
-0.0434716 -0.316221 3 
-0.0362876 -0.322358 3 
-0.0312857 -0.326589 3 
-0.0259197 -0.33118 3 
-0.0190989 -0.336957 3 
-0.0155518 -0.339995 3 
-0.00691112 -0.347324 3 
-0.00518395 -0.348806 3 
0.00518395 -0.348806 3 
0.00691112 -0.347324 3 
0.0155518 -0.339995 3 
0.0190989 -0.336957 3 
0.0259197 -0.33118 3 
0.0312857 -0.326589 3 
0.0362876 -0.322358 3 
0.0434716 -0.316221 3 
0.0466555 -0.313532 3 
0.0556567 -0.305853 3 
0.0570234 -0.304701 3 
0.0673913 -0.295872 3 
0.0678419 -0.295485 3 
0.0777592 -0.287066 3 
0.0800305 -0.285117 3 
0.0881271 -0.278254 3 
0.0922181 -0.274749 3 
0.098495 -0.269437 3 
0.104405 -0.264381 3 
0.108863 -0.260614 3 
0.11659 -0.254013 3 
0.119231 -0.251786 3 
0.128775 -0.243645 3 
0.129599 -0.242952 3 
0.139967 -0.234133 3 
0.140962 -0.233278 3 

# Contour 4, label: 
-0.501472 0.834615 3 
-0.502843 0.829932 3 
-0.50456 0.824247 3 
-0.507522 0.81388 3 
-0.510317 0.803512 3 
-0.512942 0.793144 3 
-0.513211 0.792023 3 
-0.515506 0.782776 3 
-0.517915 0.772408 3 
-0.520175 0.76204 3 
-0.522286 0.751672 3 
-0.523579 0.744863 3 
-0.524279 0.741304 3 
-0.526184 0.730936 3 
-0.527947 0.720569 3 
-0.529572 0.710201 3 
-0.531064 0.699833 3 
-0.532428 0.689465 3 
-0.533665 0.679097 3 
-0.533947 0.676475 3 
-0.534811 0.668729 3 
-0.535841 0.658361 3 
-0.536747 0.647993 3 
-0.53753 0.637625 3 
-0.538193 0.627258 3 
-0.538738 0.61689 3 
-0.539164 0.606522 3 
-0.539474 0.596154 3 
-0.539669 0.585786 3 
-0.53975 0.575418 3 
-0.539716 0.56505 3 
-0.53957 0.554682 3 
-0.539311 0.544314 3 
-0.538937 0.533947 3 
-0.538448 0.523579 3 
-0.537846 0.513211 3 
-0.53713 0.502843 3 
-0.536302 0.492475 3 
-0.535354 0.482107 3 
-0.53429 0.471739 3 
-0.533947 0.468691 3 
-0.533138 0.461371 3 
-0.53188 0.451003 3 
-0.530503 0.440635 3 
-0.529011 0.430268 3 
-0.527398 0.4199 3 
-0.525664 0.409532 3 
-0.523807 0.399164 3 
-0.523579 0.397953 3 
-0.521875 0.388796 3 
-0.519828 0.378428 3 
-0.517653 0.36806 3 
-0.515349 0.357692 3 
-0.513211 0.348559 3 
-0.512925 0.347324 3 
-0.510428 0.336957 3 
-0.507797 0.326589 3 
-0.505033 0.316221 3 
-0.502843 0.308367 3 
-0.502148 0.305853 3 
-0.49918 0.295485 3 
-0.496072 0.285117 3 
-0.492819 0.274749 3 
-0.492475 0.27368 3 
-0.489494 0.264381 3 
-0.486025 0.254013 3 
-0.482411 0.243645 3 
-0.482107 0.242797 3 
-0.478714 0.233278 3 
-0.474872 0.22291 3 
-0.471739 0.214757 3 
-0.47089 0.212542 3 
-0.466812 0.202174 3 
-0.462574 0.191806 3 
-0.461371 0.188937 3 
-0.458229 0.181438 3 
-0.453739 0.17107 3 
-0.451003 0.164933 3 
-0.449115 0.160702 3 
-0.444365 0.150334 3 
-0.440635 0.142449 3 
-0.439458 0.139967 3 
-0.434436 0.129599 3 
-0.430268 0.121262 3 
-0.429247 0.119231 3 
-0.42394 0.108863 3 
-0.4199 0.1012 3 
-0.418465 0.098495 3 
-0.412856 0.0881271 3 
-0.409532 0.0821341 3 
-0.407087 0.0777592 3 
-0.401164 0.0673913 3 
-0.399164 0.0639574 3 
-0.395091 0.0570234 3 
-0.388836 0.0466555 3 
-0.388796 0.0465892 3 
-0.382449 0.0362876 3 
-0.378428 0.0299221 3 
-0.375874 0.0259197 3 

# Contour 5, label: 
-0.0155518 1.36564 3 
-0.020988 1.36338 3 
-0.0259197 1.36133 3 
-0.0362876 1.35687 3 
-0.044891 1.35301 3 
-0.0466555 1.35222 3 
-0.0570234 1.34744 3 
-0.0669938 1.34264 3 
-0.0673913 1.34245 3 
-0.0777592 1.33734 3 
-0.0875969 1.33227 3 
-0.0881271 1.332 3 
-0.098495 1.32654 3 
-0.106947 1.32191 3 
-0.108863 1.32085 3 
-0.119231 1.31501 3 
-0.125173 1.31154 3 
-0.129599 1.30895 3 
-0.139967 1.30269 3 
-0.142418 1.30117 3 
-0.150334 1.29625 3 
-0.158791 1.2908 3 
-0.160702 1.28956 3 
-0.17107 1.28269 3 
-0.174373 1.28043 3 
-0.181438 1.27559 3 
-0.189249 1.27007 3 
-0.191806 1.26824 3 
-0.202174 1.26065 3 
-0.203454 1.2597 3 
-0.212542 1.25285 3 
-0.217086 1.24933 3 
-0.22291 1.24477 3 
-0.230148 1.23896 3 
-0.233278 1.23642 3 
-0.24268 1.2286 3 
-0.243645 1.22778 3 
-0.254013 1.21886 3 
-0.254737 1.21823 3 
-0.264381 1.20965 3 
-0.266353 1.20786 3 
-0.274749 1.20011 3 
-0.277541 1.19749 3 
-0.285117 1.19024 3 
-0.28833 1.18712 3 
-0.295485 1.18002 3 
-0.29873 1.17676 3 
-0.305853 1.16942 3 
-0.308771 1.16639 3 
-0.316221 1.15843 3 
-0.318463 1.15602 3 
-0.326589 1.14703 3 
-0.32783 1.14565 3 
-0.336867 1.13528 3 
-0.336957 1.13518 3 
-0.345644 1.12492 3 
-0.347324 1.12287 3 
-0.354131 1.11455 3 
-0.357692 1.11005 3 
-0.36233 1.10418 3 
-0.36806 1.09667 3 
-0.370246 1.09381 3 
-0.377897 1.08344 3 
-0.378428 1.0827 3 
-0.385352 1.07308 3 
-0.388796 1.06809 3 
-0.392538 1.06271 3 
-0.399164 1.05277 3 
-0.399454 1.05234 3 
-0.406222 1.04197 3 
-0.409532 1.03667 3 
-0.412732 1.03161 3 
-0.419003 1.02124 3 
-0.4199 1.01971 3 
-0.425133 1.01087 3 
-0.430268 1.00176 3 
-0.430987 1.0005 3 
-0.436721 0.990134 3 
-0.440635 0.982698 3 
-0.442206 0.979766 3 
-0.447549 0.969398 3 
-0.451003 0.962361 3 
-0.452669 0.95903 3 
-0.457654 0.948662 3 
-0.461371 0.940533 3 
-0.462416 0.938294 3 
-0.467067 0.927926 3 
-0.471471 0.917559 3 
-0.471739 0.916902 3 
-0.475807 0.907191 3 
-0.479922 0.896823 3 
-0.482107 0.89104 3 
-0.483886 0.886455 3 
-0.487728 0.876087 3 
-0.491361 0.865719 3 
-0.492475 0.862384 3 
-0.494892 0.855351 3 
-0.498279 0.844983 3 
-0.501472 0.834615 3 

